masterkey,mastervalue
Company_code,Company Code
Cost_center,Cost Center
Document_type,Document Type
Currency,Currency
Default_master,Default Master
Dept_budget,Dept Budget
Department,Department
G_L_Account,G/L Account
Internal_order,Internal Order
Item_category,Item Category
Jurisdiction_code,Jurisdiction Code
Material_master,Material Master
Plant,Plant
Tax_code,Tax Code
Unit_Measures,Unit Measure
Vendor_master,Vendor Master
